"","term","OR","CI_low","CI_high","p"
"psi1...1","psi1",1.507,0.956,2.374,0.077
"psi1...2","psi1",1.449,0.985,2.13,0.06
"psi1...3","psi1",1.271,0.623,2.59,0.51
"psi1...4","psi1",2.201,1.164,4.163,0.015
