"","term","OR","CI_low","CI_high","p"
"psi1...1","psi1",1.316,0.537,3.224,0.548
"psi1...2","psi1",1.893,0.902,3.971,0.091
"psi1...3","psi1",2.311,0.439,12.171,0.323
"psi1...4","psi1",5.815,1.394,24.245,0.016
